Pattern String,Frequency,Sequence Support,Average Pattern Frequency,Proportional Pattern Frequency
BAAAA,113,0.933333333,7.533333333,0.003284311
HHHHH,921,0.933333333,61.4,0.026768587
HHHHHH,711,0.933333333,47.4,0.020674014
AAAAAB,53,0.933333333,3.533333333,0.001541101
CEC,73,0.866666667,4.866666667,0.002119875
CEE,118,0.866666667,7.866666667,0.003426647
BCD,94,0.866666667,6.266666667,0.002729701
AAH,178,0.866666667,11.86666667,0.005169009
BDA,82,0.866666667,5.466666667,0.002381229
CFC,109,0.866666667,7.266666667,0.003165292
CFF,109,0.866666667,7.266666667,0.003165292
BEA,69,0.866666667,4.6,0.002003717
CHH,94,0.866666667,6.266666667,0.002729701
BFF,53,0.866666667,3.533333333,0.001539087
AED,90,0.866666667,6,0.002613544
AFC,66,0.866666667,4.4,0.001916599
AHA,59,0.866666667,3.933333333,0.001713323
HBB,40,0.866666667,2.666666667,0.001161575
FAB,49,0.866666667,3.266666667,0.001422929
FAD,72,0.866666667,4.8,0.002090835
FAC,66,0.866666667,4.4,0.001916599
EAC,108,0.866666667,7.2,0.003136253
EAB,80,0.866666667,5.333333333,0.00232315
DBA,92,0.866666667,6.133333333,0.002671623
FFB,54,0.866666667,3.6,0.001568126
EED,82,0.866666667,5.466666667,0.002381229
DDB,214,0.866666667,14.26666667,0.006214427
DDE,155,0.866666667,10.33333333,0.004501103
DEE,90,0.866666667,6,0.002613544
CCF,127,0.866666667,8.466666667,0.003688001
BAH,42,0.866666667,2.8,0.001219654
ACCC,134,0.866666667,8.933333333,0.003892972
CEAA,71,0.866666667,4.733333333,0.002062694
ACDD,79,0.866666667,5.266666667,0.002295111
BBAD,55,0.866666667,3.666666667,0.001597862
BBAB,90,0.866666667,6,0.002614683
BBBD,100,0.866666667,6.666666667,0.002905203
BBBC,164,0.866666667,10.93333333,0.004764533
DDAE,63,0.866666667,4.2,0.001830278
BBCD,49,0.866666667,3.266666667,0.00142355
DDCB,44,0.866666667,2.933333333,0.001278289
DDCA,87,0.866666667,5.8,0.002527527
BBDD,113,0.866666667,7.533333333,0.00328288
DDCE,50,0.866666667,3.333333333,0.001452602
DDCC,94,0.866666667,6.266666667,0.002730891
DDEA,51,0.866666667,3.4,0.001481654
CACA,55,0.866666667,3.666666667,0.001597862
CADD,68,0.866666667,4.533333333,0.001975538
BBHH,43,0.866666667,2.866666667,0.001249237
ADCA,38,0.866666667,2.533333333,0.001103977
BCCC,68,0.866666667,4.533333333,0.001975538
BCDD,57,0.866666667,3.8,0.001655966
CBBB,132,0.866666667,8.8,0.003834868
CBBA,63,0.866666667,4.2,0.001830278
CBBC,52,0.866666667,3.466666667,0.001510706
DAAE,43,0.866666667,2.866666667,0.001249237
DADD,109,0.866666667,7.266666667,0.003166672
HAAA,95,0.866666667,6.333333333,0.002759943
AEAA,107,0.866666667,7.133333333,0.003108567
AEBB,42,0.866666667,2.8,0.001220185
AEED,21,0.866666667,1.4,6.10E-04
AAAF,131,0.866666667,8.733333333,0.003805816
AACB,43,0.866666667,2.866666667,0.001249237
CCBA,33,0.866666667,2.2,9.59E-04
CCAC,75,0.866666667,5,0.002178902
AACD,71,0.866666667,4.733333333,0.002062694
AAEC,65,0.866666667,4.333333333,0.001888382
AAEA,115,0.866666667,7.666666667,0.003340984
CCBB,97,0.866666667,6.466666667,0.002818047
CCDA,55,0.866666667,3.666666667,0.001597862
CCDD,117,0.866666667,7.8,0.003399088
DBBB,95,0.866666667,6.333333333,0.002759943
AAHH,127,0.866666667,8.466666667,0.003689608
EABB,43,0.866666667,2.866666667,0.001249237
ABBD,41,0.866666667,2.733333333,0.001191133
CDAA,67,0.866666667,4.466666667,0.001946486
CDDC,57,0.866666667,3.8,0.001655966
EBBA,40,0.866666667,2.666666667,0.001162081
FAAA,122,0.866666667,8.133333333,0.003544348
AABBB,101,0.866666667,6.733333333,0.002935534
AABBA,53,0.866666667,3.533333333,0.001540429
AAACA,77,0.866666667,5.133333333,0.002237982
AAABB,117,0.866666667,7.8,0.00340057
AAAAD,88,0.866666667,5.866666667,0.002557693
AAACD,37,0.866666667,2.466666667,0.001075394
AACCA,44,0.866666667,2.933333333,0.001278847
AHHHH,131,0.866666667,8.733333333,0.003807475
BBBBA,114,0.866666667,7.6,0.003313376
AEAAA,53,0.866666667,3.533333333,0.001540429
CDDDA,47,0.866666667,3.133333333,0.001366041
HHAAA,69,0.866666667,4.6,0.002005464
HHHHA,138,0.866666667,9.2,0.004010928
ACAAA,63,0.866666667,4.2,0.001831076
ADDDA,49,0.866666667,3.266666667,0.00142417
ADDDD,101,0.866666667,6.733333333,0.002935534
DDDDA,97,0.866666667,6.466666667,0.002819276
CAAAA,112,0.866666667,7.466666667,0.003255246
HHHHHA,100,0.866666667,6.666666667,0.002907737
BAAAAA,58,0.866666667,3.866666667,0.001686488
HHHAAA,44,0.866666667,2.933333333,0.001279404
AAAAAA,471,0.866666667,31.4,0.013695444
AAAAAC,69,0.866666667,4.6,0.002006339
HHHHHHA,71,0.866666667,4.733333333,0.002065394
HHHHHHH,559,0.866666667,37.26666667,0.016261345
BBF,65,0.8,4.333333333,0.00188756
BCF,76,0.8,5.066666667,0.002206993
ADB,80,0.8,5.333333333,0.00232315
AEF,61,0.8,4.066666667,0.001771402
FAF,71,0.8,4.733333333,0.002061796
FBA,43,0.8,2.866666667,0.001248693
FBB,91,0.8,6.066666667,0.002642583
FCB,71,0.8,4.733333333,0.002061796
FCA,58,0.8,3.866666667,0.001684284
FCC,112,0.8,7.466666667,0.00325241
EAD,84,0.8,5.6,0.002439308
EAF,41,0.8,2.733333333,0.001190614
HHB,47,0.8,3.133333333,0.001364851
EBA,50,0.8,3.333333333,0.001451969
DAF,68,0.8,4.533333333,0.001974678
DAH,49,0.8,3.266666667,0.001422929
EDA,51,0.8,3.4,0.001481008
FFD,65,0.8,4.333333333,0.00188756
